date,sales_accuracy,customer_accuracy,actual_sales,predicted_sales,actual_customers,predicted_customers
2024-08-01,7.0383582810460155,76.94159731994766,44233.17999999999,85353.0703125,204.0,156.96085853269324
2024-08-02,62.06554585658457,59.34024279316266,47026.18,64865.3046875,216.0,128.17492443323135
2024-08-03,1.136803803292679,54.49650525364084,47922.16,95299.5390625,206.0,112.26280082250014
2024-08-04,22.88093754200858,35.621955421533485,59660.42,105669.9765625,267.0,95.11062097549438
2024-08-05,6.541856477184552,58.844492580304596,38367.21,74224.4921875,179.0,105.33164171874523
2024-08-06,70.71136469925325,59.3687612075536,38830.67999999999,50203.65625,168.0,99.73951882869005
2024-08-07,39.550185649984925,66.35264453167717,45009.43000000001,72217.546875,207.0,137.34997418057173
2024-08-08,0.0,78.18927566210428,47639.530000000006,134307.828125,198.0,154.8147658109665
2024-08-09,0.0,87.06985959156074,42232.06999999999,285221.1875,199.0,173.2690205872059
2024-08-10,0.0,88.88243965480639,53143.89,188529.65625,230.0,204.4296112060547
2024-08-11,54.24515580971933,63.54664065766095,61196.759999999995,89197.2421875,299.0,190.00445556640625
2024-08-12,82.25249512401285,83.56116857284155,40827.630000000005,48073.515625,156.0,181.6445770263672
2024-08-13,77.01733386663318,96.29748387736564,35208.46000000001,27116.6171875,161.0,155.03894904255867
2024-08-14,47.12661306541743,47.22656113301923,38186.61,58377.1640625,167.0,255.1316429078579
2024-08-15,64.08145138734426,58.88965706334268,60244.6,81883.5859375,278.0,163.71324663609266
2024-08-16,0.0,5.408999288920313,33709.8,73989.21875,128.0,249.076480910182
2024-08-17,97.0250231527988,92.18363206461072,46538.649999999994,47923.1640625,200.0,184.36726412922144
2024-08-18,54.84532897430757,89.29588581350717,59344.3,86141.0234375,231.0,255.72650377079844
2024-08-19,91.53365452069862,86.30286686379334,34175.47,31282.056640625,145.0,164.86084304749966
2024-08-20,86.90538795147822,97.74666516700896,39110.69,33989.296875,164.0,167.6954691261053
2024-08-21,24.19614578141106,48.42884014179181,37275.26,65531.34375,154.0,233.41958618164062
2024-08-22,44.961425088410024,66.31159464518228,37478.78,58106.56640625,150.0,200.53260803222656
2024-08-23,99.71109463713168,95.03091192214276,46484.08,46618.375,191.0,181.5090417712927
2024-08-24,59.993637806279224,86.87797819752646,75007.54000000001,105015.328125,307.0,266.71539306640625
2024-08-25,96.95576864717926,95.3651710792824,67849.27,65783.78125,297.0,283.23455810546875
2024-08-26,60.04258735155782,71.92745771057702,52997.91,31821.31640625,222.0,159.678956117481
2024-08-27,77.3018852081147,63.25622575695505,55845.89,43169.92578125,237.0,149.91725504398346
2024-08-28,79.44736878284878,48.05735233458371,64189.97,50997.2421875,277.0,133.11886596679688
2024-08-29,98.68817261246167,45.682461833690894,66230.56,67099.390625,272.0,124.25629618763924
2024-08-30,21.213370104302754,64.19149395741022,61728.95,110363.109375,253.0,162.40447971224785
2024-08-31,94.01052142536552,67.37640507250651,76042.81,71488.2421875,319.0,214.93073218129575
2024-09-01,90.60307635910691,92.46332032761707,79102.68,86535.8984375,323.0,298.6565246582031
2024-09-02,69.79133667885573,61.56268988715278,56031.11,72957.359375,225.0,311.48394775390625
2024-09-03,90.19253782391469,95.1514936018328,55299.66999999999,49876.17578125,247.0,235.024189196527
2024-09-04,0.0,27.152909661218317,55484.54,119330.703125,217.0,375.07818603515625
2024-09-05,0.0,82.93419388422356,53842.58,117172.640625,227.0,265.7393798828125
2024-09-06,37.418361105672936,94.17806837645148,58383.63,94921.0625,238.0,224.14380273595452
2024-09-07,0.0,78.72347650824818,64615.58,157959.40625,257.0,311.6806653738022
2024-09-08,0.0,73.50789993766725,62882.94,136572.96875,254.0,321.2899341583252
2024-09-09,93.28542187086583,94.6321379257438,56540.88,52744.3984375,233.0,245.50711863301694
2024-09-10,0.0,90.72262816575926,63550.19,149598.625,268.0,292.8633565157652
2024-09-11,0.0,7.258118974401597,44324.07,184478.25,188.0,362.354736328125
2024-09-12,9.479834529158765,99.9017975209752,63813.65999999999,121577.890625,257.0,256.74761962890625
2024-09-13,0.0,87.05699831940407,59908.87,122025.796875,258.0,291.3929443359375
2024-09-14,35.45017976225735,73.16288551833364,77991.9,128335.53125,349.0,255.33847045898438
2024-09-15,70.06813890313825,72.8527160854274,74857.2,52451.046875,291.0,212.00140380859375
2024-09-16,80.37509697279049,94.66088807582855,54267.8,43617.796875,225.0,237.01300182938576
2024-09-17,0.0,0.0,4540.45,57016.48046875,17.0,243.42246869206429
2024-09-18,95.24847622118733,91.72534392129907,52904.66,55418.4375,229.0,247.94896242022514
2024-09-19,56.890800045655624,46.863875850554436,57824.2,82751.75,248.0,379.777587890625
2024-09-20,0.0,56.0377836227417,67346.87,161814.859375,256.0,368.54327392578125
2024-09-21,65.49602661813921,87.23781134492607,95687.38,128703.328125,372.0,324.524658203125
2024-09-22,0.0,80.26861281622024,76259.45000000001,154078.1875,315.0,377.15386962890625
2024-09-23,62.75086478773138,78.56909796077773,58533.149999999994,80336.2421875,259.0,314.5060362815857
2024-09-24,69.64924502753054,93.36949360700464,59272.36,77261.96875,253.0,269.77518117427826
2024-09-25,0.0,0.0,35849.61,101173.8359375,159.0,344.2193260192871
2024-09-26,0.0,0.0,64472.17,164984.59375,251.0,526.238037109375
2024-09-27,0.0,9.124814561671684,59871.94,228941.59375,270.0,515.3630006834865
2024-09-28,94.60534805910098,70.74979957822082,74444.11,70428.109375,308.0,217.9093827009201
2024-09-29,80.24790204849202,68.3408856111106,91994.5,73823.65625,398.0,271.9967247322202
2024-09-30,0.0,35.281011646884124,55948.11,116156.3671875,234.0,385.44243274629116
2024-10-01,90.48899194262472,88.15148085989851,71205.57,77977.9375,282.0,315.4128239750862
2024-10-02,29.514386033279933,53.14943439574266,72043.4,122823.6328125,294.0,431.7406628765166
2024-10-03,53.66798481986977,51.95052232209607,69914.42,102307.1796875,267.0,395.2921054000035
2024-10-04,93.08827243769628,88.53637720348458,80233.17,74687.671875,297.0,331.0469597056508
2024-10-05,84.10154791209598,94.31828808954019,83384.58,96641.4375,334.0,352.97691778093576
2024-10-06,25.6010420740252,97.68057966075085,79859.01,139273.28125,327.0,334.5845045093447
2024-10-07,0.0,22.508520276936807,59817.27,182766.625,226.0,401.1307441741228
2024-10-08,47.11857873990719,38.257431618795536,50332.8,76949.5,202.0,326.719988130033
2024-10-09,26.027784532500505,69.02267766904228,58313.11,101448.609375,237.0,310.4162539243698
2024-10-10,17.589552789105753,61.09447476181965,56448.2,102967.4140625,243.0,337.54042632877827
2024-10-11,18.11499900875377,28.645341289928922,71727.89,130462.2734375,313.0,536.3400817625225
2024-10-12,8.962900119761102,69.21264075467155,71676.04000000001,136927.828125,288.0,376.6675946265459
2024-10-13,71.99770280109975,94.74612441327837,76606.34,98057.875,333.0,350.49540570378304
2024-10-14,2.2977798663117,60.00105490806711,56238.28,111184.328125,239.0,334.5974787697196
2024-10-15,78.68440710345226,94.94287109375,71658.96,86933.4921875,300.0,284.82861328125
2024-10-16,90.38437150114319,91.8115708434466,68995.75,75630.125,309.0,283.69775390625
2024-10-17,97.82181179060439,92.9998773664236,61811.42,63157.7890625,250.0,267.500306583941
2024-10-18,73.77334949935477,98.95496304660124,60295.19,44481.78125,245.0,242.43965946417302
2024-10-19,62.81848206631211,96.8759190134312,93467.39,128219.984375,380.0,391.87150774896145
2024-10-20,78.27258599592952,97.86795206684175,94155.91,73698.265625,377.0,368.9621792919934
2024-10-21,56.995280414375735,63.935264678449805,52394.96,74927.265625,218.0,296.6211230009794
2024-10-22,86.92867939880415,88.22051295694315,60393.630000000005,68287.875,265.0,233.78435933589935
2024-10-23,40.912738743735176,55.99297308748154,63234.119999999995,100597.4296875,266.0,383.0586915872991
2024-10-24,0.0,59.79887022420872,63604.18,208230.84375,276.0,386.95511818118393
2024-10-25,0.0,45.49883187930119,54918.99,138382.390625,241.0,372.34781517088413
2024-10-26,0.0,21.62213315972342,62640.72,192395.546875,260.0,463.7824537847191
2024-10-27,0.0,0.0,54163.36,462163.625,223.0,462.1511791339144
2024-10-28,0.0,0.0,42629.17,172048.6875,179.0,420.67525155097246
2024-10-29,0.0,0.0,33098.43,325304.75,133.0,448.0953952819109
2024-10-30,0.0,0.0,54022.56,171726.34375,210.0,522.4912227243185
2024-10-31,0.0,4.219739841842227,66384.1,164252.46875,229.0,448.3367957621813
2024-11-01,0.0,51.35273770526613,60168.32000000001,132499.5625,239.0,355.26695688441396
2024-11-02,31.868875162982874,29.823425994032903,51523.82,86627.578125,210.0,357.3708054125309
2024-11-03,2.9124943402776893,43.969118100292285,60603.68,119442.28125,265.0,413.48183703422546
2024-11-04,0.0,0.0,39668.87,100028.453125,169.0,429.91781762987375
2024-11-05,0.0,33.046910821312025,39652.86,86280.125,176.0,293.83743695449084
2024-11-06,0.0,10.922039146053379,50854.97,167073.75,232.0,438.66086918115616
2024-11-07,14.403675659076129,0.0,44823.73,83191.1953125,201.0,635.3400408029556
2024-11-08,80.49249493607965,17.26284419179808,66025.92,78905.9296875,282.0,515.3187793791294
2024-11-09,89.37213481641497,69.73459083664311,85806.02,76686.671875,337.0,438.9944288805127
2024-11-10,51.512712835774565,93.61580810715667,85618.82999999999,44104.58203125,339.0,317.3575894832611
2024-11-11,59.736993975115645,90.05998858153376,64295.01,38407.90625,268.0,294.63923060148954
2024-11-12,85.86328262353948,81.51394162240989,70956.04999999999,80986.90625,303.0,246.98724311590195
2024-11-13,54.37909446339988,50.9179651232089,55717.28,81136.00767636299,236.0,351.833602309227
2024-11-14,78.02385995011907,80.03246926298169,80122.81,97730.7109375,304.0,364.70129344053566
2024-11-15,0.0,88.90478108738034,92237.4,241446.0,367.0,326.28054659068584
2024-11-16,64.92420611189412,84.26338227753563,83190.25,112369.890625,343.0,289.0234012119472
2024-11-17,69.74768238021134,62.59968379881176,98073.14,68403.7421875,394.0,246.64275416731834
